project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject,person_ids
242168680,"Zusammensetzung von FuE-Teams in den Lebenszyklusphasen von Unternehmen - Implikationen für Pfadabhängigkeit, Rekombination, Innovationsqualität und Unternehmenserfolg",2013,2017,10543,Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW),5,,34119164
140575773,Zweiphotonen-Laserscanning-Mikroskop,2009,2009,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,1644497
166300241,Laserscanning-Mikroskop,2009,2009,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,1535628
202175449,MR-System 7T für Kleintier-Experimente,2011,2011,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,31394956
232947817,"Hochauflösendes 256-Kanal EEG-System, MRT- und MEG-kompatibel",2012,2012,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,1511230
248876705,Nahinfrarotspektroskopiesystem (NIRS),2013,2013,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,1002572
250085529,Optische Bildgebungseinheit,2013,2013,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,31394956
252403070,7T Kleintier MRT,2014,2014,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,31394956
253654515,Hyperpolarizer,2014,2016,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,3,,31394956
270594357,Konfokales aufrechtes Mikroskop,2014,2014,14565,Medizinische Fakultät und Universitätsklinikum Tübingen,1,,1459979
140965482,"Digital Earth - Entwicklung eines Aufnahmesystems zur Erfassung photorealistischer, dreidimensionaler Stadt-Modelle",2010,2017,234879623,3D RealityMaps GmbH,8,,1837351
141640745,Kombiniertes Konfokal-Zweiphotonen-Mikroskop,2009,2009,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1756305
175805881,Hochgeschwindigkeitszellsorter,2010,2010,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1756305
196445714,Konfokales Laserscanning-Mikroskop,2011,2011,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1727632
218587094,Aufrechtes Zweiphotonenmikroskop für die Intravitalmikroskopie,2013,2013,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1347821
230758332,Life-Time Cell Imaging System,2012,2012,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,5409
232373812,1.2 GHz NMR System,2013,2013,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1663408
233792989,Ultrafast Controllable Pulse Stimulator,2013,2013,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1361844
248753700,Hochmodulares RESOLFT-Mikroskop,2013,2013,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1822481
248754990,Hochmodulares 2-Kanal-STED-Mikroskop für große Bildfelder,2013,2013,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1822481
268709710,2-Photonen-Laserscanning-Mikroskop,2015,2015,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1756305
282277638,Stimulated Emission Depletion (STED)-Mikroskop,2015,2015,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1646946
319416073,Intravital-2-Photonen-Nanoskop (I2PN),2016,2016,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1756305
328928640,MALDI-TOF-TOF Massenspektrometer,2017,2017,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,97912309
331156557,Konfokales Laserscanningmikroskop,2017,2017,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1347821
338582817,Weitfeld-Mikroskopiesystem zur Lebendzellbeobachtung mit zusätzlichem Bleich- und Photoaktivierungslaser,2017,2017,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1709820
374011584,3 T Ganzkörper MR-Tomograf,2017,2017,13702,Georg-August-Universität Göttingen Universitätsmedizin Göttingen,1,,1786988
151327791,Methoden zur Planung und Auswertung von klinischen Phase-II-Studien in der Onkologie,2009,,25882,Deutsches Krebsforschungszentrum (DKFZ) Forschungsschwerpunkt Krebsrisikofaktoren und Prävention Abteilung Biostatistik,3,,1632198
151327791,Methoden zur Planung und Auswertung von klinischen Phase-II-Studien in der Onkologie,2009,,202694074,Coventry University Faculty of Health and Life Sciences,3,,1632198
151327791,Methoden zur Planung und Auswertung von klinischen Phase-II-Studien in der Onkologie,2009,,21597,Universitätsmedizin Göttingen Institut für Medizinische Statistik,3,,1632198
151327791,Methoden zur Planung und Auswertung von klinischen Phase-II-Studien in der Onkologie,2009,,22852923,Nationales Centrum für Tumorerkrankungen (NCT) Heidelberg,3,,1632198
178696424,SFB 938: Milieuspezifische Kontrolle immunologischer Reaktivität,2011,2015,22852923,Nationales Centrum für Tumorerkrankungen (NCT) Heidelberg,5,Grundlagen der Biologie und Medizin,1183352
151327791,Methoden zur Planung und Auswertung von klinischen Phase-II-Studien in der Onkologie,2009,,17357,Universitätsklinikum Heidelberg Radiologische Klinik,3,,1632198
151717371,Echtzeit-Konfokal-Mikroskop mit integriertem Patch clamp-Messstand,2009,2009,80320415,Universitätsklinikum Magdeburg AöR,1,,1419311
153908640,Live Cell Imaging Mikroskopsystem,2009,2009,80320415,Universitätsklinikum Magdeburg AöR,1,,1401982
184568187,NMR-Spektrometer,2010,2010,80320415,Universitätsklinikum Magdeburg AöR,1,,1469729
230876837,nano-Elektrospray-Ultra-High-Resolution Massenspektrometer mit ETD,2013,2013,80320415,Universitätsklinikum Magdeburg AöR,1,,1396607
246096689,3T Kernspintomograph,2013,2013,80320415,Universitätsklinikum Magdeburg AöR,1,,1098267
274064629,Ganzkopf-MEG-Gerät mit Magnetometer-Sensoren,2015,2015,80320415,Universitätsklinikum Magdeburg AöR,1,,1098267
280709598,Konfokales Mikroskop,2015,2015,80320415,Universitätsklinikum Magdeburg AöR,1,,1407970
